References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
"BT1, BT2",2,BAT HOLDER AAA DOUBLE BatteryCell2x,Keystone,1078,,,,,36-1078-ND,5341078,,,
"C1, C6, C7, C8",4,10uF 1206 ceramic,KEMET,C1206C106K4PACTU,AVX,1206YD106KAT2A,,,399-5091-1-ND,80C1206C106K4P,1356807,,1463365
"C2, C3, C4, C5",4,100nF 1206,AVX,12065C104KAZ2A,,,,,478-3570-1-ND,58112065C104KZ,1353353,,1301906
D1,1,SMD Red Reverse Gullwing,Vishay,VLRK31Q1R2-GS08,,,,,VLRK31Q1R2-GS08CT-ND,78VLRK31Q1R2GS08,,,
FILTER_POT1,1,Alpha 10k log,Alpha Taiwan,RV16AF-20-15K-A10K-3LA,,,,,,3131530F10K,,,
"J1, J2",2,PLUG3 5 SwitchCraft 2B IN,Switchcraft,35RASMT2BHNTRX,,,,,SC1489-1-ND,50235RASMT2BHNTRX,,,2915138
R1,1,500 Ohm 1206,Vishay,PTS12060M1B500RP100,,,,,Y9102CT-ND,667EXB38V102JV,6652922,,2473607
"R2, R3, R4, R5, R6",5,10k 1206,Panasonic,ERJ-8ENF1002V,Vishay,CRCW1206-10K0FKEA,Yageo,RC1206FR-0710KL,311-10.0KFRCT-ND,603RC1206FR0710KL,1117946,,9241000
R8,1,470 Ohm 1206,,,,,,,P470BCCT-ND,667ERA8AEB471V,6696537,,
SPEED_POT1,1,POTI 250K log,Alpha Taiwan,RV16AF-20-15K-A250K-3LA,,,,,,3131530F250K,,,
"SW2, SW1",2,Slide Switch,C&K Components,OS102011MS2QN1,,,,,CKN9565-ND,611OS102011MS2QN1,7874864,,1201430
U1,1,Echo Processor IC,Princeton Technology Corp,PT2399,,,,,,,,,
VOL_POT1,1,POTI 100k log,Alpha Taiwan,RV16AF-20-15S1-A100K-LA,,,,,,3131510F100K,,,
,1,,,,,,,,,,,,
